trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.9380049995307295, 'e': 0.9953955378570153}",35,0,-216.05282092908996,"{0: 20, 1: 1, 2: 9, 3: 3, 4: 2}",0
65,False,"{'a': 0.9370674633774034, 'e': 0.9952506391732631}",30,0,-205.91771658596403,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
66,False,"{'a': 0.9361308642916188, 'e': 0.9951035011759926}",25,0,-171.04017373653994,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
67,False,"{'a': 0.9351952013367766, 'e': 0.9949541241962642}",20,0,-101.53064112993249,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
68,False,"{'a': 0.9342604735772135, 'e': 0.994802508570176}",20,0,-65.08181860080612,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
69,False,"{'a': 0.933326680078202, 'e': 0.9946486546388634}",25,0,-178.85895941366272,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
70,False,"{'a': 0.9323938199059483, 'e': 0.9944925627484974}",20,0,-115.61633755019002,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
71,False,"{'a': 0.9314618921275921, 'e': 0.9943342332502848}",25,0,-123.96353904827424,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
72,False,"{'a': 0.9305308958112057, 'e': 0.9941736665004669}",20,0,-120.72308640166086,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
73,False,"{'a': 0.9296008300257927, 'e': 0.9940108628603187}",20,0,-136.51305727498172,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
74,False,"{'a': 0.9286716938412872, 'e': 0.9938458226961485}",25,0,-67.54892661574156,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
75,False,"{'a': 0.9277434863285529, 'e': 0.9936785463792964}",20,4,-42.75777365126493,"{0: 8, 1: 5, 2: 3, 3: 0, 4: 0}",1
76,False,"{'a': 0.9268162065593822, 'e': 0.9935090342861344}",25,0,-82.077575721316,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
77,False,"{'a': 0.9258898536064953, 'e': 0.9933372867980641}",25,0,-230.82492861784402,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
78,False,"{'a': 0.9249644265435393, 'e': 0.9931633043015177}",30,0,-116.05722969418818,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
79,False,"{'a': 0.9240399244450868, 'e': 0.9929870871879556}",25,8,-175.51033789861162,"{0: 5, 1: 1, 2: 8, 3: 1, 4: 2}",1
80,False,"{'a': 0.9231163463866358, 'e': 0.9928086358538663}",35,0,-176.30884009905145,"{0: 21, 1: 2, 2: 9, 3: 1, 4: 2}",0
81,False,"{'a': 0.922193691444608, 'e': 0.992627950700765}",25,0,-94.99838232854756,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
82,False,"{'a': 0.9212719586963487, 'e': 0.9924450321351935}",20,0,-58.385258311497076,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
83,False,"{'a': 0.9203511472201247, 'e': 0.9922598805687185}",20,0,-122.26354340690635,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
84,False,"{'a': 0.9194312560951247, 'e': 0.9920724964179307}",30,0,-207.65079498733863,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
85,False,"{'a': 0.9185122844014574, 'e': 0.9918828801044445}",20,0,-126.20376877928975,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
86,False,"{'a': 0.9175942312201509, 'e': 0.9916910320548965}",20,0,-74.109557015635,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
87,False,"{'a': 0.9166770956331523, 'e': 0.9914969527009447}",25,5,-121.32857931890098,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",1
88,False,"{'a': 0.9157608767233256, 'e': 0.9913006424792677}",30,0,-149.41315210620422,"{0: 14, 1: 6, 2: 8, 3: 1, 4: 1}",0
89,False,"{'a': 0.9148455735744521, 'e': 0.9911021018315633}",20,0,-105.6603373724848,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
90,False,"{'a': 0.9139311852712282, 'e': 0.9909013312045479}",25,0,-101.9919870337273,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
91,False,"{'a': 0.9130177108992658, 'e': 0.9906983310499554}",20,0,-127.36445699402577,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
92,False,"{'a': 0.9121051495450904, 'e': 0.9904931018245359}",30,0,-149.0483546005499,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
93,False,"{'a': 0.9111935002961405, 'e': 0.9902856439900551}",25,0,-165.47086709146384,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
94,False,"{'a': 0.910282762240767, 'e': 0.9900759580132933}",20,0,-70.49805697453323,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
95,False,"{'a': 0.9093729344682314, 'e': 0.9898640443660435}",20,0,-85.41788341980475,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
96,False,"{'a': 0.9084640160687062, 'e': 0.9896499035251115}",20,0,-103.60806217946275,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
97,False,"{'a': 0.9075560061332727, 'e': 0.9894335359723141}",25,0,-93.33895826904471,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
98,False,"{'a': 0.9066489037539209, 'e': 0.9892149421944781}",30,0,-301.194735734123,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 5}",0
99,False,"{'a': 0.9057427080235485, 'e': 0.9889941226834397}",25,0,-273.66858316411566,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 5}",0
100,False,"{'a': 0.9048374180359595, 'e': 0.9887710779360422}",20,0,-63.259422908170386,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
101,False,"{'a': 0.9039330328858641, 'e': 0.9885458084541368}",20,0,-108.0596470149867,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
102,False,"{'a': 0.9030295516688768, 'e': 0.9883183147445792}",25,0,-196.82291834300972,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
103,False,"{'a': 0.9021269734815165, 'e': 0.9880885973192304}",35,0,-254.33841336382574,"{0: 19, 1: 3, 2: 8, 3: 1, 4: 4}",0
104,False,"{'a': 0.9012252974212048, 'e': 0.9878566566949545}",20,2,-21.681584487929445,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
105,False,"{'a': 0.9003245225862656, 'e': 0.9876224933936177}",30,0,-222.76131201232073,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
106,False,"{'a': 0.899424648075924, 'e': 0.9873861079420876}",20,0,-116.0520808355867,"{0: 10, 1: 1, 2: 6, 3: 3, 4: 0}",0
107,False,"{'a': 0.8985256729903055, 'e': 0.9871475008722311}",20,0,-113.62454897908619,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
108,False,"{'a': 0.8976275964304349, 'e': 0.986906672720914}",25,0,-150.5294818530771,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
109,False,"{'a': 0.8967304174982355, 'e': 0.9866636240299999}",30,0,-125.80807727875458,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
110,False,"{'a': 0.8958341352965282, 'e': 0.9864183553463477}",30,0,-105.0476962058907,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
111,False,"{'a': 0.894938748929031, 'e': 0.9861708672218122}",25,0,-82.08708921949909,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
112,False,"{'a': 0.8940442575003572, 'e': 0.9859211602132415}",25,12,-42.328644824868825,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.8931506601160155, 'e': 0.9856692348824763}",20,0,-85.01812762824525,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
114,False,"{'a': 0.8922579558824083, 'e': 0.9854150917963483}",30,23,3.898214560395218,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.8913661439068313, 'e': 0.9851587315266797}",20,0,-116.91879839901122,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
116,False,"{'a': 0.8904752232974726, 'e': 0.9849001546502806}",25,0,-39.523526876786875,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
117,False,"{'a': 0.8895851931634113, 'e': 0.9846393617489492}",25,0,-101.02816216796242,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
118,False,"{'a': 0.8886960526146174, 'e': 0.984376353409469}",20,7,-98.21290825624467,"{0: 7, 1: 0, 2: 3, 3: 2, 4: 1}",1
119,False,"{'a': 0.8878078007619501, 'e': 0.9841111302236092}",25,0,-96.05172407848323,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
120,False,"{'a': 0.8869204367171575, 'e': 0.9838436927881214}",20,0,-90.05987399391012,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
121,False,"{'a': 0.8860339595928756, 'e': 0.9835740417047399}",25,0,-62.92792685353906,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
122,False,"{'a': 0.8851483685026271, 'e': 0.9833021775801796}",20,0,-117.81026753521732,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
123,False,"{'a': 0.8842636625608209, 'e': 0.9830281010261345}",25,0,-141.12241178479357,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 4}",0
124,False,"{'a': 0.8833798408827509, 'e': 0.9827518126592768}",20,0,-86.07428620764472,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
125,False,"{'a': 0.8824969025845955, 'e': 0.9824733131012553}",30,0,-65.16898398321177,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
126,False,"{'a': 0.8816148467834161, 'e': 0.9821926029786937}",25,0,-143.72258525884337,"{0: 11, 1: 6, 2: 5, 3: 2, 4: 1}",0
